ID,NAME,CITY,LINK,HEAT_MAP_LINK,DATE,TYPE,BEDROOM_COUNT,MEAN_PRICE,MEDIAN_PRICE
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-16,All Properties,1,875000,875000
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-16,2 Bedroom Properties,1,799999,799999
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-16,2 Bedroom Properties,1,875000,875000
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-16,3 Bedroom Properties,1,1595999,1595999
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-23,All Properties,2,1197999,1197999
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-23,2 Bedroom Properties,1,807499,807499
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-23,2 Bedroom Properties,2,837500,837500
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-23,3 Bedroom Properties,1,1595999,1595999
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-23,All Properties,3,875000,1090333
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-23,2 Bedroom Properties,1,807499,807499
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-23,2 Bedroom Properties,2,837500,837500
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-23,3 Bedroom Properties,1,1595999,1595999
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-30,All Properties,2,1026571,1026571
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-30,2 Bedroom Properties,1,799999,799999
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-30,3 Bedroom Properties,1,1328666,1328666
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-06,All Properties,1,1110357,1110357
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-06,2 Bedroom Properties,1,799999,799999
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-06,3 Bedroom Properties,1,1195000,1195000
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-13,All Properties,1,1195000,1195000
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-13,3 Bedroom Properties,1,1195000,1195000
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-04,All Properties,1,999000,999000
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-04,2 Bedroom Properties,1,999000,999000
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-11,All Properties,2,948643,953357
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-11,2 Bedroom Properties,2,948643,953357
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-18,All Properties,2,898643,898643
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-18,2 Bedroom Properties,2,898643,898643
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-25,All Properties,1,899000,899000
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-25,2 Bedroom Properties,1,899000,899000
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-06,All Properties,1,1650000,1650000
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-06,3 Bedroom Properties,1,1650000,1650000
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-13,All Properties,1,1650000,1650000
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-13,3 Bedroom Properties,1,1650000,1650000
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-20,All Properties,1,1650000,1650000
1387,Anza Vista,San Francisco,http://www.trulia.com/real_estate/Anza_Vista-San_Francisco/1387/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-08-20,3 Bedroom Properties,1,1650000,1650000
1388,Ashbury Heights,San Francisco,http://www.trulia.com/real_estate/Ashbury_Heights-San_Francisco/1388/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-04,All Properties,3,1996667,2021333
1388,Ashbury Heights,San Francisco,http://www.trulia.com/real_estate/Ashbury_Heights-San_Francisco/1388/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-04,2 Bedroom Properties,1,1195000,1195000
1388,Ashbury Heights,San Francisco,http://www.trulia.com/real_estate/Ashbury_Heights-San_Francisco/1388/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-04,3 Bedroom Properties,1,1495000,1495000
1388,Ashbury Heights,San Francisco,http://www.trulia.com/real_estate/Ashbury_Heights-San_Francisco/1388/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-04,4 Bedroom Properties,1,3598000,3598000
1388,Ashbury Heights,San Francisco,http://www.trulia.com/real_estate/Ashbury_Heights-San_Francisco/1388/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-04,5 Bedroom Properties,1,3150000,3150000
1388,Ashbury Heights,San Francisco,http://www.trulia.com/real_estate/Ashbury_Heights-San_Francisco/1388/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-11,All Properties,3,1588571,1612619
1388,Ashbury Heights,San Francisco,http://www.trulia.com/real_estate/Ashbury_Heights-San_Francisco/1388/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-11,2 Bedroom Properties,1,1195000,1195000
1388,Ashbury Heights,San Francisco,http://www.trulia.com/real_estate/Ashbury_Heights-San_Francisco/1388/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-11,3 Bedroom Properties,2,1943214,1823691
1388,Ashbury Heights,San Francisco,http://www.trulia.com/real_estate/Ashbury_Heights-San_Francisco/1388/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-18,All Properties,4,1492143,1955262
